k,real,imag,mag,phase
0,-0.0358633,0,0.0358633,3.14159
1,-0.045087,-0.0236777,0.0509261,-2.65802
2,-0.0871061,-0.0758004,0.115469,-2.42548
3,-0.271376,-0.289595,0.396876,-2.32373
4,-3.02162,-3.6405,4.73111,-2.26357
5,8.92304,11.912,14.8835,0.927886
6,-6.42638,-9.51389,11.481,-2.16487
7,0.73669,1.21729,1.42285,1.02657
8,0.129553,0.240844,0.273477,1.07728
9,0.0433092,0.0913751,0.101119,1.12819
10,0.018687,0.0451863,0.0488979,1.17866
11,0.00923922,0.0259065,0.0275047,1.22822
12,0.00494708,0.0163257,0.0170588,1.27657
13,0.00277243,0.0109837,0.0113282,1.32355
14,0.00158461,0.00775058,0.00791091,1.36912
15,0.000900087,0.00566982,0.00574082,1.41336
16,0.000490086,0.00426514,0.0042932,1.45639
17,0.000237723,0.00327988,0.00328848,1.49844
18,7.95639e-05,0.00256671,0.00256794,1.53981
19,-2.05309e-05,0.00203666,0.00203676,1.58088
20,-8.39803e-05,0.00163363,0.00163579,1.62216
21,-0.000123903,0.00132097,0.00132677,1.66432
22,-0.000148555,0.00107396,0.00108418,1.70825
23,-0.000163256,0.000875449,0.000890541,1.75516
24,-0.000171494,0.000713267,0.000733594,1.80675
25,-0.0001756,0.000578554,0.000604615,1.86547
26,-0.000177143,0.000464714,0.000497332,1.93498
27,-0.000177194,0.000366729,0.000407293,2.02089
28,-0.000176485,0.000280679,0.000331554,2.13211
29,-0.000175514,0.000203422,0.000268674,2.28268
30,-0.000174614,0.000132349,0.000219104,2.49302
31,-0.000173996,6.52162e-05,0.000185817,2.78299
32,-0.000173778,0,0.000173778,3.14159
33,-0.000173996,-6.52162e-05,0.000185817,-2.78299
34,-0.000174614,-0.000132349,0.000219104,-2.49302
35,-0.000175514,-0.000203422,0.000268674,-2.28268
36,-0.000176485,-0.000280679,0.000331554,-2.13211
37,-0.000177194,-0.000366729,0.000407293,-2.02089
38,-0.000177143,-0.000464714,0.000497332,-1.93498
39,-0.0001756,-0.000578554,0.000604615,-1.86547
40,-0.000171494,-0.000713267,0.000733594,-1.80675
41,-0.000163256,-0.000875449,0.000890541,-1.75516
42,-0.000148555,-0.00107396,0.00108418,-1.70825
43,-0.000123903,-0.00132097,0.00132677,-1.66432
44,-8.39803e-05,-0.00163363,0.00163579,-1.62216
45,-2.05309e-05,-0.00203666,0.00203676,-1.58088
46,7.95639e-05,-0.00256671,0.00256794,-1.53981
47,0.000237723,-0.00327988,0.00328848,-1.49844
48,0.000490086,-0.00426514,0.0042932,-1.45639
49,0.000900087,-0.00566982,0.00574082,-1.41336
50,0.00158461,-0.00775058,0.00791091,-1.36912
51,0.00277243,-0.0109837,0.0113282,-1.32355
52,0.00494708,-0.0163257,0.0170588,-1.27657
53,0.00923922,-0.0259065,0.0275047,-1.22822
54,0.018687,-0.0451863,0.0488979,-1.17866
55,0.0433092,-0.0913751,0.101119,-1.12819
56,0.129553,-0.240844,0.273477,-1.07728
57,0.73669,-1.21729,1.42285,-1.02657
58,-6.42638,9.51389,11.481,2.16487
59,8.92304,-11.912,14.8835,-0.927886
60,-3.02162,3.6405,4.73111,2.26357
61,-0.271376,0.289595,0.396876,2.32373
62,-0.0871061,0.0758004,0.115469,2.42548
63,-0.045087,0.0236777,0.0509261,2.65802
