n,real,imag,mag,phase
0,-1,-0,1,-3.14159
1,0.80898,0.587836,1,0.628381
2,-0.308778,-0.951134,1,-1.8847
3,-0.309555,0.950882,1,1.88552
4,-0.809017,0.587785,1,2.51327
5,1,0.000314159,1,0.000314159
6,0.808574,0.588395,1,0.629073
7,0.307762,0.951463,1,1.25796
8,0.309017,-0.951057,1,-1.25664
9,-0.809349,0.587328,1,2.51384
10,0.999999,0.00125664,1,0.00125664
11,0.807797,0.589461,1,0.630392
12,-0.309017,-0.951057,1,-1.88496
13,-0.309794,0.950804,1,1.88577
14,0.81005,-0.586361,1,-0.626559
15,-0.999996,-0.00282743,1,-3.13877
16,0.809017,0.587785,1,0.628319
17,-0.308001,-0.951386,1,-1.88389
18,0.311167,-0.950355,1,-1.25438
19,-0.811117,0.584884,1,2.51686
20,1,-4.89843e-16,1,-4.89843e-16
21,-0.808241,-0.588852,1,-2.51195
22,0.306387,0.951907,1,1.2594
23,0.313137,-0.949708,1,-1.2523
24,-0.809017,0.587785,1,2.51327
25,-0.999999,-0.0015708,1,-3.14002
26,0.807092,0.590425,1,0.631586
27,-0.304173,-0.952617,1,-1.87987
28,0.309017,-0.951057,1,-1.25664
29,-0.810087,0.58631,1,2.5151
30,-0.999993,-0.0037699,1,-3.13782
31,0.805569,0.592503,1,0.634162
32,0.309017,0.951057,1,1.25664
33,-0.310988,0.950414,1,1.88703
34,0.811521,-0.584323,1,-0.624046
35,0.999978,0.0065973,1,0.00659734
36,-0.809017,-0.587785,1,-2.51327
37,0.306805,0.951772,1,1.25896
38,-0.313555,0.94957,1,1.88973
39,0.813316,-0.581822,1,-0.620967
40,-1,9.79685e-16,1,3.14159
41,-0.8075,-0.589867,1,-2.5107
42,-0.303993,-0.952674,1,-1.87968
43,-0.316715,0.948521,1,1.89306
44,-0.809017,0.587785,1,2.51327
45,0.999996,0.00282743,1,0.00282743
46,0.805606,0.592452,1,0.634099
47,0.300579,0.953757,1,1.2655
48,-0.309017,0.951057,1,1.88496
49,-0.810823,0.585292,1,2.51635
50,0.99998,0.00628314,1,0.00628319
51,-0.803329,-0.595535,1,-2.50366
52,0.309017,0.951057,1,1.25664
53,0.312182,-0.950022,1,-1.25331
54,-0.812987,0.582282,1,2.52006
55,-0.999946,-0.0103671,1,-3.13123
56,0.809017,0.587785,1,0.628319
57,0.305609,0.952157,1,1.26022
58,0.31594,-0.948779,1,-1.24935
59,-0.815504,0.578752,1,2.5244
60,-1,1.46953e-15,1,3.14159
61,0.806758,0.590882,1,0.632151
62,-0.301598,-0.953435,1,-1.87716
63,0.320289,-0.94732,1,-1.24476
